document_id,category
Document_51509,23
Document_120711,3
Document_130838,23
Document_49872,34
Document_74725,30
Document_134840,31
Document_83467,33
Document_31508,2
Document_146591,42
Document_128251,6
Document_141060,30
Document_117652,3
Document_57096,21
Document_125536,16
Document_123832,16
Document_135068,32
Document_625,20
Document_110089,8
Document_136356,40
Document_6552,1
Document_96162,21
Document_30170,20
Document_92008,14
Document_50312,23
Document_126506,41
Document_61103,20
Document_110802,12
Document_7442,3
Document_89684,33
Document_134146,0
Document_61843,41
Document_121475,12
Document_135415,26
Document_24812,23
Document_74326,30
Document_75140,30
Document_63466,28
Document_65274,28
Document_22693,18
Document_56609,25
Document_138817,42
Document_140687,8
Document_54719,24
Document_113320,15
Document_22956,18
Document_38375,41
Document_29032,10
Document_89539,35
Document_139341,32
Document_50263,23
Document_8105,3
Document_117633,16
Document_54511,24
Document_126076,16
Document_18353,7
Document_43236,39
Document_36930,4
Document_98374,9
Document_16274,7
Document_11778,4
Document_25459,3
Document_102162,0
Document_25421,2
Document_10912,4
Document_67710,20
Document_127935,0
Document_145673,42
Document_139186,36
Document_64911,28
Document_146081,40
Document_78921,32
Document_42705,41
Document_122985,14
Document_101812,0
Document_141098,18
Document_35347,18
Document_31504,37
Document_46886,20
Document_110395,15
Document_62685,28
Document_9524,4
Document_69259,34
Document_147217,42
Document_66372,28
Document_114565,40
Document_46203,20
Document_120771,13
Document_37762,41
Document_133264,21
Document_38945,4
Document_14035,3
Document_105854,15
Document_130921,23
Document_82538,12
Document_9720,4
Document_116828,16
Document_112631,15
Document_87839,34
Document_60827,32
Document_82096,32
Document_12655,5
Document_36762,41
Document_17436,7
Document_117418,16
Document_108216,41
Document_108395,12
Document_54510,24
Document_86469,36
Document_99510,16
Document_68186,27
Document_109318,18
Document_143858,10
Document_10201,19
Document_106801,0
Document_48262,28
Document_29972,37
Document_101512,0
Document_78225,37
Document_119130,9
Document_144687,42
Document_68114,27
Document_20560,17
Document_17901,7
Document_114656,9
Document_99186,9
Document_65762,28
Document_134671,36
Document_58069,35
Document_40485,20
Document_92571,42
Document_62588,28
Document_84132,33
Document_96891,10
Document_80902,32
Document_14330,7
Document_27512,22
Document_83700,33
Document_64342,28
Document_81955,32
Document_102185,0
Document_32193,5
Document_6091,1
Document_112657,15
Document_137350,29
Document_135610,5
Document_5418,0
Document_24852,22
Document_1770,1
Document_129767,31
Document_44218,41
Document_135020,18
Document_82738,32
Document_42128,0
Document_96398,19
Document_81002,18
Document_68902,27
Document_35965,41
Document_2231,0
Document_66752,28
Document_90551,25
Document_69679,27
Document_67397,21
Document_43810,41
Document_37831,41
Document_111246,0
Document_31047,41
Document_51410,23
Document_133112,0
Document_84628,34
Document_19729,17
Document_33656,38
Document_89981,25
Document_9986,2
Document_10293,20
Document_42034,39
Document_81528,32
Document_27858,5
Document_87277,35
Document_8035,3
Document_141259,29
Document_115104,41
Document_68355,34
Document_108765,23
Document_66831,28
Document_42151,39
Document_76075,29
Document_21934,19
Document_89285,21
Document_10407,20
Document_99991,0
Document_129979,5
Document_8340,3
Document_48476,32
Document_54443,24
Document_141710,3
Document_119530,15
Document_64901,27
Document_5779,0
Document_68419,27
Document_34491,38
Document_119526,15
Document_36657,41
Document_97892,10
Document_112924,1
Document_94139,8
Document_36031,18
Document_7768,7
Document_143181,31
Document_12403,4
Document_68730,27
Document_118183,16
Document_126062,13
Document_28294,7
Document_67920,27
Document_66658,28
Document_120428,22
Document_85399,34
Document_64319,28
Document_130909,18
Document_148468,4
Document_27153,5
Document_116156,13
Document_133641,4
Document_137957,31
Document_130979,12
Document_11785,5
Document_2971,17
Document_95848,19
Document_99660,9
Document_135283,15
Document_107073,0
Document_84746,33
Document_51501,23
Document_143153,42
Document_35978,38
Document_30843,41
Document_75259,30
Document_69594,27
Document_134417,3
Document_65153,25
Document_112299,11
